name,poi_class,display_category,lon,lat,ring_mi
,,Real Estate Service,-81.63315792,30.151610120000004,5
,,Specialized Health Care,-81.63312544905416,30.1517883443557,5
,,Real Estate Service,-81.63521556,30.15138556,5
,,Building Or Construction Service,-81.63499577,30.151721199999994,5
,,Building Or Construction Service,-81.63500458,30.151526330000003,5
,,Behavioral Or Mental Health Clinic,-81.63465346,30.15168657,5
,,Building Or Construction Service,-81.63442232,30.15160333,5
,,Attorney Or Law Firm,-81.63442993164062,30.15167617797851,5
,,Wellness Service,-81.63442524,30.151819469999992,5
,,Real Estate Service,-81.63442292,30.151812819999993,5
,,Financial Service,-81.63442046,30.15183491999999,5
,,Financial Service,-81.63457736459313,30.151624501331735,5
,,Home Service,-81.63502829,30.149375660000004,5
,,Specialized Health Care,-81.63562,30.151280000000003,5
,,Specialized Health Care,-81.63562,30.151280000000003,5
,,Doctor,-81.63562,30.151280000000003,5
,,Doctor,-81.63562,30.151280000000003,5
,,Behavioral Or Mental Health Clinic,-81.63561019,30.151288880000003,5
,,Park,-81.63604569,30.15490983,5
,,Sporting Goods Store,-81.635392,30.153903999999994,5
,,Home Service,-81.637805,30.158210000000004,5
,,Uncategorized,-81.6379971429706,30.15821964784819,5
,,Food Bank,-81.640603,30.1526197,5
,,Park,-81.6396423,30.148864550000003,5
,,Park,-81.63889661,30.149157869999996,5
,,Park,-81.6381184318024,30.148853777172786,5
,,Christian Place Of Worship,-81.64249448,30.149740289999997,5
,,Social Or Community Service,-81.64255921,30.160819979999996,5
,,Preschool,-81.64393057,30.167062289999997,5
,,Christian Place Of Worship,-81.64382287,30.166595069999985,5
,,Christian Place Of Worship,-81.64553137230801,30.164465084618005,5
,,Uncategorized,-81.6423402,30.169635099999994,5
,,Theatre Venue,-81.63724000000002,30.176120000000008,5
,,Home Service,-81.63691651,30.1642185,5
,,Hardware Home And Garden Store,-81.6412004,30.166343599999998,5
,,Uncategorized,-81.6393793,30.161677599999997,5
,,Uncategorized,-81.641038,30.1615278,5
,,Home Service,-81.63772,30.163310000000003,5
,,Social Or Community Service,-81.635520458221,30.16047485520999,5
,,Social Or Community Service,-81.63523355,30.15998108000001,5
,,Printing Service,-81.63521,30.159929999999996,5
,,Hotel,-81.634841,30.159642000000005,5
,,Dental Clinic,-81.63362286,30.164319349999996,5
,,Dental Clinic,-81.633676,30.164453999999992,5
,,Complementary And Alternative Medicine,-81.63312717,30.164413740000004,5
,,Uncategorized,-81.63318589817888,30.164398911745298,5
,,Home Service,-81.63350332852832,30.164784561462547,5
,,Social Or Community Service,-81.6333023892,30.165367167696004,5
,,Gas Station,-81.633175,30.165346999999993,5
,,Casual Eatery,-81.63341070000001,30.166099700000004,5
,,Restaurant,-81.63324367,30.16610502,5
,,Personal Or Beauty Service,-81.63326306,30.166235229999998,5
,,Government Department,-81.6331692,30.166515299999997,5
,,Bank Or Credit Union,-81.6331692,30.166515299999997,5
,,Financial Service,-81.6331692,30.166515299999997,5
,,Vision Or Eye Care Clinic,-81.63332807,30.166227799999994,5
,,Casual Eatery,-81.63346,30.16645999999999,5
,,Restaurant,-81.63355702,30.166498560000004,5
,,Bank Or Credit Union,-81.6335569,30.166493299999996,5
,,Bank Or Credit Union,-81.6335569,30.166493299999996,5
,,Restaurant,-81.63351725064578,30.166445468059695,5
,,Restaurant,-81.63351725064578,30.166445468059695,5
,,Vision Or Eye Care Clinic,-81.6334336996078,30.1662505334044,5
,,Atm,-81.63359895443952,30.166580285824207,5
,,Bank Or Credit Union,-81.633548,30.166619,5
,,Food And Beverage Store,-81.63338277,30.166578249999993,5
,,Sporting Goods Store,-81.63266746,30.16765312,5
,,Smoothie Juice Bar,-81.63261657,30.16771892,5
,,Dental Clinic,-81.63268613000001,30.16767093,5
,,Fashion And Apparel Store,-81.6327428,30.16772495,5
,,Casual Eatery,-81.63274629,30.16772449999999,5
,,Personal Or Beauty Service,-81.63274649,30.167724450000005,5
,,Legal Service,-81.63274729,30.16772997000001,5
,,Restaurant,-81.63271747,30.167610130000003,5
,,Personal Or Beauty Service,-81.63279602,30.16775906,5
,,Financial Service,-81.632402,30.167986999999986,5
,,Casual Eatery,-81.632403,30.167975000000002,5
,,Hardware Home And Garden Store,-81.63247646760342,30.167948599188325,5
,,Wellness Service,-81.63246636,30.16785077,5
,,Restaurant,-81.63227774,30.16791033,5
,,Personal Or Beauty Service,-81.63225,30.167919999999995,5
,,Fitness Studio,-81.632346,30.167979,5
,,Travel Service,-81.632346,30.167979,5
,,Personal Or Beauty Service,-81.632346,30.167979,5
,,Restaurant,-81.63234561422752,30.167978859961842,5
,,Casual Eatery,-81.63234561422752,30.167978859961842,5
,,Gym,-81.63234561422752,30.167978859961842,5
,,Wellness Service,-81.63239163,30.168012219999998,5
,,Casual Eatery,-81.63239347164495,30.168025175453806,5
,,Wellness Service,-81.63239347164495,30.168025175453806,5
,,Wellness Service,-81.63198579,30.16826229999999,5
,,Casual Eatery,-81.632121,30.168177,5
,,Casual Eatery,-81.63213954,30.168132779999993,5
,,Uncategorized,-81.632210612297,30.1681236555458,5
,,Casual Eatery,-81.63218921,30.16798890999999,5
,,Personal Or Beauty Service,-81.632247924805,30.167919780653996,5
,,Dental Clinic,-81.63219452,30.167865749999997,5
,,Smoothie Juice Bar,-81.632194,30.167865000000006,5
,,Casual Eatery,-81.6320419311523,30.1672439575195,5
,,Casual Eatery,-81.6324571,30.16781325,5
,,Personal Or Beauty Service,-81.632504,30.167752939999996,5
,,Gas Station,-81.63227878,30.167015360000004,5
,,Atm,-81.6319851,30.166919500000002,5
,,Sporting Goods Store,-81.63196642824198,30.165886004496596,5
,,Automotive Service,-81.63203185337186,30.165870873375347,5
,,Design Service,-81.632032,30.165871000000003,5
,,Atm,-81.63206481933594,30.165430068969727,5
,,Bank Or Credit Union,-81.63209,30.165452000000005,5
,,Hardware Home And Garden Store,-81.6322024,30.16547909999999,5
,,Fashion And Apparel Store,-81.63215964,30.165593219999995,5
,,Uncategorized,-81.6323013305664,30.165557861328107,5
,,Restaurant,-81.6326002,30.165244600000012,5
,,Rental Service,-81.63282751,30.16493567,5
,,Financial Service,-81.63288406,30.164387449999996,5
,,Real Estate Service,-81.63312438,30.16441786,5
,,Real Estate Service,-81.6331247,30.16441667,5
,,Real Estate Service,-81.63312304,30.164413769999992,5
,,Real Estate Service,-81.63312203,30.164419050000003,5
,,Real Estate Service,-81.63305,30.164433000000002,5
